service_line,rule_code,rule_title,batch,case,combined,blocker_proof
"COLPOSCOPY","COL-001","High suspicion cancer (case flag)","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-008","HPV 16/18 primary screening with cancer suspicion cytology","shadowed","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-009","HPV Other primary screening with cancer suspicion cytology","shadowed","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-010","Abnormal cervical appearance with cancer suspicion","shadowed","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-011","Post-treatment HPV 16/18 with cancer suspicion","not_producible","shadowed","shadowed in every pipeline","COL-011 requires Post-treatment assessment + HPV 16/18 + Cancer suspicion cytology. COL-008 requires HPV 16/18 + Cancer suspicion cytology. Every legal input satisfying COL-011 therefore also satisfies COL-008. COL-008 precedes COL-011 in the ordered list. No exclusion available to COL-011 can falsify COL-008. Therefore COL-011 can never win."
"COLPOSCOPY","COL-012","Post-treatment HPV Other with cancer suspicion","not_producible","shadowed","shadowed in every pipeline","COL-012 requires Post-treatment assessment + HPV Other + Cancer suspicion cytology. COL-009 requires HPV Other + Cancer suspicion cytology. Every legal input satisfying COL-012 therefore also satisfies COL-009. COL-009 precedes COL-012 in the ordered list. No exclusion available to COL-012 can falsify COL-009. Therefore COL-012 can never win."
"COLPOSCOPY","COL-013","HPV surveillance 16/18 with cancer suspicion","not_producible","shadowed","shadowed in every pipeline","COL-013 requires HPV surveillance + HPV 16/18 + Cancer suspicion cytology. COL-008 requires HPV 16/18 + Cancer suspicion cytology. Every legal input satisfying COL-013 therefore also satisfies COL-008. COL-008 precedes COL-013 in the ordered list. No exclusion available to COL-013 can falsify COL-008. Therefore COL-013 can never win."
"COLPOSCOPY","COL-014","HPV Other surveillance with cancer suspicion","not_producible","shadowed","shadowed in every pipeline","COL-014 requires HPV surveillance + HPV Other + Cancer suspicion cytology. COL-009 requires HPV Other + Cancer suspicion cytology. Every legal input satisfying COL-014 therefore also satisfies COL-009. COL-009 precedes COL-014 in the ordered list. No exclusion available to COL-014 can falsify COL-009. Therefore COL-014 can never win."
"COLPOSCOPY","COL-030","HPV not detected with cancer suspicion — symptomatic pathway","shadowed","not_producible","shadowed in every pipeline","COL-030 requires HPV Not Detected + Cancer suspicion cytology. No single earlier rule subsumes it, but no legal fact vector satisfies COL-030 while falsifying every earlier rule. The blocking set is: COL-008, COL-009, COL-010, COL-011, COL-012, COL-013, COL-014… Verified independently by exhaustive enumeration (Path A) and CNF/DPLL (Path B)."
"COLPOSCOPY","COL-032","Positive test of cure — HPV detected, low-grade or no cytology","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-033","Positive test of cure — HPV not detected, persistent low-grade cytology","reachable","not_producible","batch-only (unreachable in case pipeline)",""
"COLPOSCOPY","COL-002","Positive test of cure re-referral","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-003","High-grade cytology or histology (HSIL, ASC-H, CIN2, CIN3)","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-015","HPV 16/18 primary screening — abnormal cytology (non-cancer)","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-016","HPV Other primary screening — high-grade or glandular cytology","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-004","HPV 16/18 positive (any cytology, no higher rule matched)","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-027","HPV Other immune deficient — no cytology","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-028","HPV Other immune deficient — normal or low-grade cytology","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-017","HPV Other with immune deficiency","shadowed","shadowed","shadowed in every pipeline","COL-017 requires HPV Other + Immune deficient. No single earlier rule subsumes it, but no legal fact vector satisfies COL-017 while falsifying every earlier rule. The blocking set is: COL-008, COL-009, COL-010, COL-011, COL-012, COL-013, COL-014, COL-030… Verified independently by exhaustive enumeration (Path A) and CNF/DPLL (Path B)."
"COLPOSCOPY","COL-006","Abnormal cervical appearance — borderline/normal cytology","reachable","reachable","reachable in both",""
