Topic,Our current understanding,MVP current behaviour,Desired behaviour,Mandatory for pilot,Owner,Notes
Case creation,Referral becomes a case in the system,Supported,Yes or no,,, 
Document upload,Referral letters and supporting documents should be attached,Supported,Yes or no,,, 
Evidence review,Reviewer should see extracted evidence before grading,Supported,Yes or no,,, 
Summary approval,Summary should be reviewed before grading,Supported,Yes or no,,, 
Recommendation review,Reviewer should see recommendation with rationale,Supported,Yes or no,,, 
Clinician override,Clinician should be able to override and record reason,Supported,Yes or no,,, 
Booking handoff,Booking should follow clinician-approved outcome,Supported,Yes or no,,, 
SMO review,Some cases should route to senior review,Supported,Yes or no,,, 
Needs more info flow,Some cases should be returned for more information,Supported,Yes or no,,, 
Return to GP,Some cases should be declined or returned to GP,Supported,Yes or no,,, 
Printable output,Summary and outcome may need printable output,Supported,Yes or no,,, 
Coordinator role,Coordinator needs a queue view and action flow,Supported,Yes or no,,, 
Internal notes,Some notes should remain internal only,Supported,Yes or no,,, 
Referrer notes,Some notes should go back to GP or referrer,Supported,Yes or no,,, 
Operational statuses,Queue statuses should match service terminology,Partially supported,Yes or no,,, 
Reports,Service may need operational and quality reporting,Partially supported,Yes or no,,, 
