rule_id,section,tree_status,master_tree_location,coverage_note
GR-01,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-02,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-03,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-04,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-05,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-06,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-07,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-08,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-09,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-10,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-11,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-12,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-13,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GR-14,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-01,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-02,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-03,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-04,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-05,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
GS-06,Global Router & Safety,VISIBLE_OR_GROUPED,GLOBAL ROUTER AND SAFETY GATES,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
