Service,Rule ID,Category or scenario,Source document,Our understanding of the rule,"What information does the grader need to make this decision?",Expected outcome or priority,"Agree as written? (Yes / No / Amend / Not used locally)","If not please amend","Needed in phase 1? (Yes / No / Later)",Clinical owner,Notes
GYNAECOLOGY,GYN-01,"AUB: no pelvic ultrasound within 12 months",Gynaecology guideline PDF,"If there is no pelvic ultrasound within 12 months, the referral appears to be rejected and returned to GP requesting re-referral with scan.","Referral content, ultrasound availability","Reject -- request re-referral with ultrasound",,,"Yes",,
GYNAECOLOGY,GYN-02,"AUB: endometrial thickness >15mm or no recent endometrial sample, with or without adenomyosis",Gynaecology guideline PDF,"If ultrasound shows endometrial thickness >15mm and there is no pipelle or endometrial sample in the last 6 months, with or without adenomyosis, this appears to be P2 Menorrhagia.","Ultrasound findings, endometrial thickness, biopsy history","P2 Menorrhagia",,,"Yes",,
GYNAECOLOGY,GYN-03,"AUB: ultrasound suggestive of polyp",Gynaecology guideline PDF,"If ultrasound is suggestive of polyp, with or without dysmenorrhoea, this appears to be P3 Hysteroscopy.","Ultrasound findings, symptoms","P3 Hysteroscopy",,,"Yes",,
GYNAECOLOGY,GYN-04,"AUB: ET <15mm, otherwise normal, but bleeding >3 months and medical management already tried",Gynaecology guideline PDF,"If ET <15mm and otherwise normal, but intermenstrual or continuous bleeding has lasted >3 months and medical management has been tried, this appears to be P3 Menorrhagia. If not tried, the note appears to suggest medical treatment first.","Ultrasound, duration, medications already tried","P3 Menorrhagia or medical management first",,,"Yes",,
GYNAECOLOGY,GYN-05,"AUB: post-coital bleeding with normal smear in premenopausal patient",Gynaecology guideline PDF,"Post-coital bleeding with normal smear in a premenopausal patient appears not to need specialist review.","Smear result, menopausal status","Does not need to be seen",,,"Yes",,
GYNAECOLOGY,GYN-06,"AUB: fibroid <3cm found incidentally on ultrasound",Gynaecology guideline PDF,"If ultrasound shows fibroid <3cm, no other abnormalities, and normal ET, this appears to be declined with advice that the fibroid is incidental. If medical management has already been tried, it appears to become P3 Gynae.","Ultrasound, fibroid size, endometrial thickness, prior management","Decline or P3 depending on prior management",,,"Yes",,
GYNAECOLOGY,GYN-07,"AUB: abnormal cervix with normal smear",Gynaecology guideline PDF,"If there is an abnormal cervix with normal smear, this appears to be P2 Gynae and requires SMO grading.","Cervical appearance, smear result","P2 Gynae (SMO grading)",,,"Yes",,
GYNAECOLOGY,GYN-08,"PMB: no ultrasound within 6 months",Gynaecology guideline PDF,"If there is no ultrasound within 6 months, the referral appears to be rejected and sent back requesting ultrasound. The note suggests POAC if cost is a barrier.","Ultrasound availability, history","Reject -- request ultrasound",,,"Yes",,
GYNAECOLOGY,GYN-09,"PMB: single episode with ET <4mm",Gynaecology guideline PDF,"Single episode PMB with ET <4mm appears to suggest community pipelle if appropriate, ovestin cream, and re-referral only if PMB recurs.","PMB episodes, ultrasound, ET","Community management / re-refer if recurrent",,,"Yes",,
GYNAECOLOGY,GYN-10,"PMB: one or more episodes with ET >=5mm",Gynaecology guideline PDF,"One or more episodes of PMB with ET >=5mm appears to be HSC P1 and Rapid Access Clinic hysteroscopy.","PMB episodes, ultrasound, ET","HSC P1 / Rapid Access Clinic",,,"Yes",,
