Topic,Question,Our current understanding,Your answer or correction,"Needed in phase 1? (Yes / No / Maybe)","Needed for production? (Yes / No / Maybe)",Owner,Notes
Hosting,"Where should this be hosted?","Likely a Health NZ controlled or approved NZ-hosted environment.",,"Yes","Yes",,
Hosting,"Do you need separate dev, test, and prod environments?","Likely yes for production, but pilot may be lighter.",,"No","Yes",,
Database,"Can the product use a dedicated application database?","Likely yes, but not confirmed.",,"Yes","Yes",,
Current systems,"What system or tools are currently used to manage and grade referrals today?","Unknown.",,"Yes","Yes",,
Current systems,"What EHR, PAS, or patient administration system is used today?","Unknown.",,"Maybe","Yes",,
Identity,"Is SSO required?","Likely yes if used by Health NZ staff.",,"No","Yes",,
Identity,"Is MFA required for privileged users?","Likely yes in production.",,"No","Yes",,
Patient data,"Where should patient demographics come from?","Unknown.",,"Yes","Yes",,
Referrals,"Where should referrals come from?","Unknown.",,"Yes","Yes",,
Referrals,"How do referrals currently arrive in practice?","Unknown.",,"Yes","Yes",,
Clinic letters,"Where should clinic letters come from?","Unknown.",,"Yes","Yes",,
Discharge summaries,"Where should discharge summaries come from?","Unknown.",,"Maybe","Yes",,
Lab results,"Where should lab data come from?","Unknown.",,"Maybe","Yes",,
Radiology,"Where should radiology come from?","Unknown.",,"Maybe","Yes",,
NCSR,"Is NCSR mandatory for colposcopy pilot?","Possibly yes for some scenarios, but not confirmed.",,"Maybe","Yes",,
NCSR,"How do staff currently access NCSR in practice?","Unknown.",,"Maybe","Yes",,
Restricted access,"Who approves access to restricted systems such as NCSR?","Unknown.",,"No","Yes",,
Integration method,"How could referral and clinical data be accessed in practice?","Unknown.",,"Maybe","Yes",,
Approvals,"Are there existing approval processes for new clinical software or pilots at Health NZ Counties Manukau?","Unknown.",,"No","Yes",,
Other vendor,"What is the relationship between this work and the other vendor's project?","Unknown.",,"Yes","Yes",,
Storage,"What document storage platform is approved?","Unknown, but likely managed and governed.",,"Maybe","Yes",,
Email or notifications,"Is outbound notification or mail delivery available?","Unknown.",,"No","Yes",,
AI scope,"Is AI assist in scope for the first pilot?","Unknown. The email suggests this is a longer-term goal, but this needs confirmation.",,"Yes","Yes",,
AI platform,"If AI is allowed, which platform is approved?","Unknown.",,"No","Yes",,
Privacy,"Can real patient data be used in pilot?","Likely only under approval, otherwise redacted cases first.",,"Yes","Yes",,
Retention and audit,"What audit and retention requirements apply?","Unknown.",,"No","Yes",,
Pilot sequencing,"Which service should go first?","Colposcopy may be easier, but this needs confirmation.",,"Yes","Yes",,
