domain,fact_name,status_convention,provenance_required,description
sampleValidity,hpvValidity,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,hpvSampleValid,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,hpvSampleInvalid,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,hpvSampleUnsuitable,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,hpvSampleLeaked,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,hpvSampleInadequate,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,cytologyPending,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,cytologyAdequacy,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,consecutiveUnsatisfactoryCount,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,sampleSite,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
sampleValidity,collectionMethod,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
