Area,Requirement or understanding,Source,Current assumption,Status,MVP status,Please confirm or correct,Notes
Problem,Gynaecology grading requires information from multiple sources,Email from Jasveen,Yes,Assumed,Built as document-first workflow,,
Problem,One-page summary is the first priority to reduce clicks,Email from Jasveen,Yes,Assumed,Built,,
Problem,Colposcopy may be easier to structure first than gynaecology,Email from Jasveen,Yes,Assumed,Built as separate workflow,,
Problem,Long-term goal is AI-assisted grading based on clinician decisions,Email from Jasveen,Yes,Assumed,Partially built,,
Governance,Data sovereignty is required,Email from Jasveen,Yes,Assumed,Built as governance model,,
Governance,NCSR access is restricted and training-based,Email from Jasveen,Yes,Assumed,Built as governed integration path,,
Colposcopy,Booking-priority logic should follow the colposcopy triage guide,COLP Grading Guide,Yes,Assumed,Partially built,,
Colposcopy,Operational grading fields should align with the current colposcopy grading template,Current colposcopy grading template,Yes,Assumed,Built,,
Gynaecology,AUB should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Gynaecology,PMB should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Gynaecology,Fibroids should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Gynaecology,Ovarian masses and cysts should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Gynaecology,Pelvic pain should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Gynaecology,Urogynaecology should be gradeable from structured summary plus evidence,Gynaecology guideline,Yes,Assumed,Partially built,,
Workflow,Clinician should be able to confirm or override the recommendation,Email plus workflow need,Yes,Assumed,Built,,
Workflow,Coordinator booking flow should follow the approved clinical decision,Operational assumption,Yes,Assumed,Built,,
Pilot,Validation should use redacted real cases,Email from Jasveen,Yes,Assumed,Not yet done,,
Pilot,One service may be piloted before the other,Operational assumption,Yes,Unknown,Ready to support,,
