section,rule_id,pathway_stage,condition,required_facts,missing_data_behavior,provisional_outcome,timing_destination,care_setting,automation_boundary,reviewer_requirement,source_document,source_reference,update_status,implementation_note,safety_priority
Global Router & Safety,GR-01,Global router,Any abnormal vaginal bleeding or cancer concern,Symptoms; bleeding type; examination; cancer suspicion,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 10 before routine screening. A reassuring HPV result must not close the symptom pathway.,Immediate/urgent where cancer suspected,Symptom investigation,Safety router,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 15; Fig. 10,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GR-02,Global router,Pregnancy with HPV16/18 or high-grade/glandular cytology,Pregnancy status; HPV; cytology,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 9 and experienced pregnancy colposcopy.,As soon as practicable,Experienced colposcopy,Safety router,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 11; Fig. 9,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GR-03,Global router,Pregnancy with HPV Other and negative/ASC-US/LSIL,Pregnancy; HPV; cytology,Do not default unknown to false or normal; stop and request information or clinician review.,Do not automatically route to Figure 9 high-grade pathway; repeat HPV in 12 months unless another safety override applies.,12 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 11; Fig. 3/9,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-04,Global router,Total or subtotal hysterectomy recorded,Hysterectomy type; cervix present; indication; pathology; history,Do not default unknown to false or normal; stop and request information or clinician review.,Subtotal: ordinary screening. Total: Figure 8/Table 1. Unknown type: safety stop.,According to pathway,Reviewer-confirmed pathway,Safety router,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 10; Fig. 8; Table 1,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-05,Global router,Previous cervical/vaginal/gynaecological cancer,Cancer type; stage; treatment; cervix status,Do not default unknown to false or normal; stop and request information or clinician review.,Apply the 2026 cancer overlay before ordinary screening or hysterectomy rules.,According to specialist plan,Specialist/NCSP boundary,Safety router,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,2026 addendum p6,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GR-06,Global router,Unresolved prior high-grade or glandular history,Prior result; outstanding colposcopy; treatment/ToC status,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 2; do not enter Figure 1 or routine Figure 3.,Immediate/ongoing follow-up,Colposcopy/specialist,Safety router,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 2; Fig. 2,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-07,Global router,Active post-treatment HSIL Test of Cure,Treatment date; histology; margins; sequence state,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 6 before routine screening.,6/18 months and annual sequence,ToC pathway,Safety router,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 8; Fig. 6,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-08,Global router,"Glandular abnormality, AIS or adenocarcinoma",Exact subtype; lesion; biopsy/MDM state,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 7 or specialist gynaecology/oncology; do not treat as generic high-grade cytology.,Urgent when malignant,Specialist pathway,Safety router,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 9; Fig. 7,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GR-09,Global router,Normal colposcopy after low-grade cytology,HPV; cytology; colposcopy; TZ; immune status,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 4.,12/24 month surveillance,Colposcopy follow-up,Safety router,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 6; Fig. 4,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-10,Global router,Normal colposcopy after cytology >=ASC-H,HPV; reviewed cytology; TZ; lesion; MDM state,Do not default unknown to false or normal; stop and request information or clinician review.,Route to Figure 5.,Specialist surveillance,MDM/colposcopy,Safety router,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 6; Fig. 5,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GR-11,Global router,First transition from cytology-based programme,Transition status; prior history; ToC/colposcopy status,Do not default unknown to false or normal; stop and request information or clinician review.,Use Figures 1 and 2 only for transition; otherwise use current pathway.,At transition,Programme transition,Safety router,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 2; Figs. 1-2,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Global Router & Safety,GR-12,Global router,Asymptomatic participant in HPV primary screening,Symptoms absent; cervix present; age; HPV/sample facts,Do not default unknown to false or normal; stop and request information or clinician review.,Use Figure 3 after higher-priority routes are excluded.,According to result,Primary screening,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 4; Fig. 3,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Global Router & Safety,GR-13,Minimal routing gate,Before pathway selection,Symptoms/cancer concern; pregnancy; cervix/hysterectomy status; cancer history; unresolved high-grade/glandular history; active ToC; current glandular abnormality; post-colposcopy status; transition status,Do not default unknown to false or normal; stop and request information or require clinician review.,Use only the minimum discriminators needed to select the highest-priority pathway. Do not require every pathway-specific field at intake.,At intake,Global routing,Safety router,Mandatory clinician confirmation,NCSP June 2023 v1.1 + Feb/Mar 2026 controlling guidance where applicable,Software-safety synthesis of Figs 1-10/Table 1,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
