Service,Rule ID,Category or scenario,Source document,Our understanding of the rule,"What information does the grader need to make this decision?",Expected outcome or booking timeframe,"Agree as written? (Yes / No / Amend / Not used locally)","If not please amend","Needed in phase 1? (Yes / No / Later)",Clinical owner,Notes
COLPOSCOPY,COLP-01,"Primary screening: HPV 16/18 with cytology reporting suspicion or definite cancer",Colposcopy booking-priority guide,"If HPV 16/18 and cytology reports suspicion or definite cancer, book within 10 days.","HPV genotype, cytology result","10 days",,,"Yes",,
COLPOSCOPY,COLP-02,"Primary screening: HPV 16/18 with or without cytology, any cytology result excluding cancer",Colposcopy booking-priority guide,"If HPV 16/18 is detected and cancer is not suspected, this appears to be the 30-day pathway.","HPV genotype, cytology result or no cytology","30 days",,,"Yes",,
COLPOSCOPY,COLP-03,"Primary screening: HPV other with cytology reporting suspicion or definite cancer",Colposcopy booking-priority guide,"If HPV other is detected and cytology reports suspicion or definite cancer, book within 10 days.","HPV group, cytology result","10 days",,,"Yes",,
COLPOSCOPY,COLP-04,"Primary screening: HPV other with ASC-H, HSIL, AIS, or glandular cytology",Colposcopy booking-priority guide,"If HPV other is detected and cytology reports ASC-H, HSIL, AIS, or glandular, this appears to be the 30-day pathway.","HPV group, cytology result","30 days",,,"Yes",,
COLPOSCOPY,COLP-05,"Primary screening: second HPV other with no cytology or normal, ASC-US, LSIL >50",Colposcopy booking-priority guide,"If this is the second HPV-other episode and cytology is absent or low-grade/normal as written, this appears to be a 3-month pathway.","Repeat count, HPV group, cytology result, age split where used","3 months",,,"Yes",,
COLPOSCOPY,COLP-06,"Primary screening: third HPV other with no cytology or normal, ASC-US, LSIL <50",Colposcopy booking-priority guide,"If this is the third HPV-other episode and cytology is absent or low-grade/normal as written, this appears to be a 6-month pathway.","Repeat count, HPV group, cytology result, age split where used","6 months",,,"Yes",,
COLPOSCOPY,COLP-07,"Immune-deficient direct referral: no cytology",Colposcopy booking-priority guide,"Immune-deficient patient with no cytology appears to be a 3-month pathway.","Immune status, cytology availability","3 months",,,"Yes",,
COLPOSCOPY,COLP-08,"Immune-deficient direct referral: cytology normal, ASC-US, or LSIL",Colposcopy booking-priority guide,"Immune-deficient patient with cytology normal, ASC-US, or LSIL appears to be a 6-month pathway.","Immune status, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-09,"Abnormal appearance: clinical suspicion or definite cancer",Colposcopy booking-priority guide,"Abnormal cervical appearance with suspicion or definite cancer appears to require booking within 10 days.","Clinical appearance, level of concern","10 days",,,"Yes",,
COLPOSCOPY,COLP-10,"Abnormal appearance: normal sample history including current sample",Colposcopy booking-priority guide,"Abnormal cervical appearance with normal sample history, including the current sample, appears to be a 3-month pathway.","Clinical appearance, current and prior sample history","3 months",,,"Yes",,
