Area,Decision needed,Options or examples,Final decision,Owner,Target date,Notes
Clinical scope,"Which service should pilot first?","Colposcopy first | Gynaecology first | Both together",,,,
Clinical scope,"Which categories must be included in pilot 1?","Highest-volume categories only | High-risk categories only | Broader first release",,,,
Pilot,"What does success look like for the pilot?","Turnaround improvement | reduced clicks | safer triage | category coverage | user acceptance",,,,
Pilot,"When does the client want to start the pilot?","As soon as possible | after technical setup | after redacted-case validation",,,,
Pilot,"How will the pilot be evaluated?","Redacted-case review | retrospective parallel grading | live controlled pilot",,,,
Clinical validation,"Who will confirm colposcopy workflow and rule interpretation?","Named colposcopy clinical owner",,,,
Clinical validation,"Who will confirm gynaecology summary content and rule interpretation?","Named gynaecology clinical owner",,,,
Workflow,"Should the first pilot include booking workflow or stop at triage outcome?","Triage only | Triage plus booking handoff",,,,
Workflow,"What exact return-to-GP and request-more-information outcomes are required?","Service wording to be confirmed",,,,
Technical,"What hosting environment is approved?","Health NZ managed | approved NZ hosting | existing internal platform",,,,
Technical,"What patient and referral data sources are available in phase 1?","Manual upload | limited integration | full source integration",,,,
Technical,"Is NCSR required for colposcopy pilot?","Yes | No | only for some scenarios | later phase",,,,
Other vendor,"What is the boundary between this work and the other vendor's work?","Complementary | overlapping | different service | pilot only",,,,
AI,"Is AI in pilot scope at all?","No AI | summary only | summary plus recommendation",,,,
Governance,"Can redacted cases be used for validation and pilot preparation?","Yes | No | approval required",,,,
Governance,"Who will own ongoing validation sessions and decisions?","One owner each for colposcopy, gynaecology, workflow, and technical",,,,
