Topic,Question,Current assumption,Options or possible answers,Confirmed answer,Required for pilot,Required for production,Owner,Notes
Hosting,Where should this be hosted?,NZ-hosted controlled environment required,Health NZ Azure | other approved NZ environment | existing internal platform,,Yes,Yes,,
Hosting,Do you need separate dev test prod environments?,Likely yes,Yes | No,,No,Yes,,
Database,Can the product use a dedicated application database?,Likely yes,Dedicated app database | existing enterprise database,,Yes,Yes,,
Identity,Is SSO required?,Likely yes,Entra ID / Azure AD | other SSO | local pilot only,,No,Yes,,
Identity,Is MFA required for privileged users?,Likely yes,Yes | No,,No,Yes,,
Patient data,Where should patient demographic data come from?,Unknown,EHR | PAS | referral system | manual upload only,,Yes,Yes,,
Referrals,Where do referrals come from?,Unknown,API | document inbox | manual upload | existing referral platform,,Yes,Yes,,
Lab results,Where should lab data come from?,Unknown,API | HL7 | PDF/manual upload | not needed for pilot,,Maybe,Yes,,
Radiology,Where should radiology come from?,Unknown,API | HL7 | PDF/manual upload | not needed for pilot,,Maybe,Yes,,
Letters and summaries,Where should clinic letters and discharge summaries come from?,Unknown,Document feed | EHR | manual upload,,Yes,Yes,,
NCSR,Is NCSR mandatory for pilot?,Possibly for colposcopy,Yes | No | later phase,,Maybe,Yes,,
NCSR,Who can approve NCSR access and credentials?,Unknown,Clinical lead | integration team | information governance,,No,Yes,,
Integration method,What integration pattern is preferred?,Unknown,API | HL7 | FHIR | SFTP | document upload,,Maybe,Yes,,
AI,Is AI assist in pilot scope?,Unknown,Yes | No | deterministic only first,,No,Maybe,,
AI,Which AI platform is approved if AI is used?,Unknown,Local model | Azure OpenAI | other approved platform | not in pilot,,No,Yes,,
Privacy,Can real patient data be used in pilot?,Likely controlled and approved only,Yes under approval | redacted only | synthetic only,,Yes,Yes,,
Storage,Which document storage platform is approved?,Likely NZ-hosted managed storage,Azure Blob NZ | other approved storage,,Maybe,Yes,,
Email,Is SMTP or enterprise mail delivery available?,Unknown,SMTP | Microsoft mail relay | no outbound mail for pilot,,No,Yes,,
Pilot,Which service should pilot first?,Colposcopy may be easier,Colposcopy | Gynaecology | both together,,Yes,Yes,,
Pilot,How many users and cases should be in pilot?,Unknown,Small controlled pilot | larger staged pilot,,Yes,Yes,,
