caseId,figureOrTable,page,recommendationNumbers,expectedActionClass,productionExecutable,productionActionClass,productionCode,productionRisk,productionSafetyOutcome,currentLegacyExecutable,currentLegacyActionClass,currentLegacyCode,canonicalActionClasses,canonicalRecommendation,canonicalTiming,canonicalDestination,canonicalReviewerRequirement,canonicalClinicianOnly,canonicalMatchedRule,productionMatchesSource,currentLegacyMatchesSource,canonicalMatchesSource,classification,flags
F1-NEVER-SCREENED-INVITE-NOW,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NOW,true,INVITE_NOW,F1-INVITE-NOW,MEDIUM,,true,INVITE_NOW,F1-INVITE-NOW,INVITE_NOW | ROUTE_FIGURE_3,"Invite now, then perform primary HPV screening via Figure 3",Now / next available screening,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F1-UNDER-SCREENED-INVITE-NOW,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NOW,true,INVITE_NOW,F1-INVITE-NOW,MEDIUM,,true,INVITE_NOW,F1-INVITE-NOW,INVITE_NOW | ROUTE_FIGURE_3,"Invite now, then Figure 3",Now,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-02,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F1-OVERDUE-INVITE-NOW,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NOW,true,INVITE_NOW,F1-INVITE-NOW,MEDIUM,,true,INVITE_NOW,F1-INVITE-NOW,INVITE_NOW | ROUTE_FIGURE_3,"Invite now, then Figure 3",Now,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F1-REGULAR-NORMAL-NEXT-SCHEDULED,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NEXT_SCHEDULED,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,LOW,,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,INVITE_NEXT_SCHEDULED | ROUTE_FIGURE_3,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F1-LOW-GRADE-RESOLVED-NEXT-SCHEDULED,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NEXT_SCHEDULED,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,LOW,,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,INVITE_NEXT_SCHEDULED | ROUTE_FIGURE_3,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F1-HIGH-GRADE-TOC-COMPLETE-NEXT-SCHEDULED,Figure 1,18,R2.01 | R2.02 | R2.03 | R2.06 | R2.07,INVITE_NEXT_SCHEDULED,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,LOW,,true,INVITE_NEXT_SCHEDULED,F1-INVITE-NEXT-SCHEDULED,INVITE_NEXT_SCHEDULED | ROUTE_FIGURE_3,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F1-06,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-HIGH-GRADE-OUTSTANDING-COLPOSCOPY,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,COLPOSCOPY,true,COLPOSCOPY,F2-PRIOR-HG-COLP,HIGH,,true,COLPOSCOPY,F2-PRIOR-HG-COLP,COLPOSCOPY | ROUTE_FIGURE_3 | ROUTINE_RECALL | TEST_OF_CURE | CONTINUE_TOC,"If colposcopy was recommended and not done, refer to colposcopy; otherwise complete Test of Cure. After successful resolution, proceed to regular screening/Figure 3",Colposcopy or ongoing annual co-testing,Colposcopy service,CLINICIAN_REVIEW,true,F2-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-HIGH-GRADE-INCOMPLETE-TOC,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,TEST_OF_CURE,true,TEST_OF_CURE,F2-PRIOR-HG-COMPLETE-TOC,HIGH,,true,TEST_OF_CURE,F2-PRIOR-HG-COMPLETE-TOC,COLPOSCOPY | ROUTE_FIGURE_3 | ROUTINE_RECALL | TEST_OF_CURE | CONTINUE_TOC,"If colposcopy was recommended and not done, refer to colposcopy; otherwise complete Test of Cure. After successful resolution, proceed to regular screening/Figure 3",Colposcopy or ongoing annual co-testing,Colposcopy service,CLINICIAN_REVIEW,true,F2-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-HIGH-GRADE-TOC-COMPLETE-F3,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,ROUTE_FIGURE_3,true,ROUTE_FIGURE_3,F2-PRIOR-HG-TOC-COMPLETE-FIG3,LOW,,true,ROUTE_FIGURE_3,F2-PRIOR-HG-TOC-COMPLETE-FIG3,COLPOSCOPY | ROUTE_FIGURE_3 | ROUTINE_RECALL | TEST_OF_CURE | CONTINUE_TOC,"If colposcopy was recommended and not done, refer to colposcopy; otherwise complete Test of Cure. After successful resolution, proceed to regular screening/Figure 3",Colposcopy or ongoing annual co-testing,Colposcopy service,CLINICIAN_REVIEW,true,F2-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-AIS-NO-TOTAL-HYSTERECTOMY-R208,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,AIS_FOLLOW_UP,true,UNMAPPED_ACTUAL:F2-AIS-R208-FOLLOWUP,F2-AIS-R208-FOLLOWUP,HIGH,CLINICIAN_REVIEW_REQUIRED,true,UNMAPPED_ACTUAL:F2-AIS-R208-FOLLOWUP,F2-AIS-R208-FOLLOWUP,COLPOSCOPY | ROUTE_FIGURE_3 | AIS_FOLLOW_UP | COMMUNITY_TOC,Follow AIS post-treatment pathway rather than ordinary Figure 3,6 and 18 months when HPV-detected AIS has clear excision margins,Colposcopy or primary/community care according to current R9.14,SPECIALIST_REVIEW,false,F2-02,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F2-ATYPICAL-ENDOMETRIAL-OLDER-3Y-F3,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,ROUTE_FIGURE_3,true,ROUTE_FIGURE_3,F2-AG2-OLDER-3Y-FIG3,LOW,,true,ROUTE_FIGURE_3,F2-AG2-OLDER-3Y-FIG3,INVITE_NEXT_SCHEDULED | ROUTE_FIGURE_3,Primary HPV screening test at next scheduled visit via Figure 3,Next scheduled visit,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F2-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-ATYPICAL-ENDOMETRIAL-DISCHARGED-F3,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,ROUTE_FIGURE_3,true,ROUTE_FIGURE_3,F2-AG2-DISCHARGED-FIG3,LOW,,true,ROUTE_FIGURE_3,F2-AG2-DISCHARGED-FIG3,INVITE_NEXT_SCHEDULED | ROUTE_FIGURE_3,Primary HPV screening test at next scheduled visit via Figure 3,Next scheduled visit,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F2-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F2-ATYPICAL-ENDOMETRIAL-OTHERWISE-GYNAECOLOGY,Figure 2,19,R2.03 | R2.04 | R2.05 | R2.06 | R2.07 | R2.08,GYNAECOLOGY,true,GYNAECOLOGY,F2-AG2-SPECIALIST-GYN,HIGH,,true,GYNAECOLOGY,F2-AG2-SPECIALIST-GYN,GYNAECOLOGY,Refer to specialist gynaecology services,As soon as practicable,Specialist gynaecology,SPECIALIST_REVIEW,true,F2-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-SWAB-HPV-NOT-DETECTED-5Y,Figure 3,24,R4.01,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,ROUTINE_RECALL,Return for screening in 5 years,5 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-SWAB-HPV-NOT-DETECTED-IMMUNE-3Y,Figure 3,24,R4.01,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,ROUTINE_RECALL,Return for screening in 3 years,3 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-02,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-LBC-HPV-NOT-DETECTED-5Y,Figure 3,24,R4.01,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,ROUTINE_RECALL,Return for screening in 5 years,5 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-LBC-HPV-NOT-DETECTED-IMMUNE-3Y,Figure 3,24,R4.01,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,ROUTINE_RECALL,Return for screening in 3 years,3 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-02,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-NOT-DETECTED-5Y,Figure 3,24,R4.01-R4.03,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,ROUTINE_RECALL,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-08,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-SECOND-REPEAT-HPV-NOT-DETECTED-5Y,Figure 3,24,R4.01-R4.03,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,ROUTINE_RECALL,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-13,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-NOT-DETECTED-IMMUNE-3Y,Figure 3,24,R4.01-R4.03,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,ROUTINE_RECALL,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-08,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-SECOND-REPEAT-HPV-NOT-DETECTED-IMMUNE-3Y,Figure 3,24,R4.01-R4.03,ROUTINE_RECALL,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-IC-3Y,ROUTINE_RECALL,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-13,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-HPV16-18-SWAB-COLPOSCOPY,Figure 3,24,R4.07-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-1618-COLP,HIGH,,true,COLPOSCOPY,F3-1618-COLP,COLPOSCOPY,"Refer directly to colposcopy. If swab sample, obtain LBC/cytology at colposcopy",20 or 30 working days according to risk/history; urgent if invasive cytology,Colposcopy service,CLINICIAN_REVIEW,true,F3-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-HPV16-18-LBC-COLPOSCOPY,Figure 3,24,R4.07-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-1618-COLP,HIGH,,true,COLPOSCOPY,F3-1618-COLP,COLPOSCOPY,"Refer directly to colposcopy. If swab sample, obtain LBC/cytology at colposcopy",20 or 30 working days according to risk/history; urgent if invasive cytology,Colposcopy service,CLINICIAN_REVIEW,true,F3-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
