service_line,rule_code,rule_title,classification,reachable_paths,intended_priority,intended_target_days,actual_priority,actual_target_days,actual_winning_rule,urgency_direction,example_facts,detail
"COLPOSCOPY","COL-001","High suspicion cancer (case flag)","REACHABLE","A_BATCH + B_CASE","P1_HSC","10","P1_HSC","10","COL-001","n/a","<highSuspicionCancer flag>","case flag rule; reachable whenever the high-suspicion flag is set"
"COLPOSCOPY","COL-008","HPV 16/18 primary screening with cancer suspicion cytology","REACHABLE","A_BATCH + B_CASE","P1_HSC","10","P1_HSC","10","COL-008","unchanged","HPV 16/18; Cancer suspicion cytology","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-009","HPV Other primary screening with cancer suspicion cytology","REACHABLE","A_BATCH + B_CASE","P1_HSC","10","P1_HSC","10","COL-009","unchanged","HPV Other; Cancer suspicion cytology","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-010","Abnormal cervical appearance with cancer suspicion","REACHABLE","A_BATCH + B_CASE","P1_HSC","10","P1_HSC","10","COL-010","unchanged","Abnormal appearance; Cancer suspicion cytology","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-011","Post-treatment HPV 16/18 with cancer suspicion","SHADOWED","","P1_HSC","10","P1_HSC","10","COL-008","unchanged","Post-treatment assessment; HPV 16/18; Cancer suspicion cytology","satisfiable, but COL-008 always matches first"
"COLPOSCOPY","COL-012","Post-treatment HPV Other with cancer suspicion","SHADOWED","","P1_HSC","10","P1_HSC","10","COL-009","unchanged","Post-treatment assessment; HPV Other; Cancer suspicion cytology","satisfiable, but COL-009 always matches first"
"COLPOSCOPY","COL-013","HPV surveillance 16/18 with cancer suspicion","SHADOWED","","P1_HSC","10","P1_HSC","10","COL-008","unchanged","HPV surveillance; HPV 16/18; Cancer suspicion cytology","satisfiable, but COL-008 always matches first"
"COLPOSCOPY","COL-014","HPV Other surveillance with cancer suspicion","SHADOWED","","P1_HSC","10","P1_HSC","10","COL-009","unchanged","HPV surveillance; HPV Other; Cancer suspicion cytology","satisfiable, but COL-009 always matches first"
"COLPOSCOPY","COL-030","HPV not detected with cancer suspicion — symptomatic pathway","REACHABLE","A_BATCH","P1_HSC","10","P1_HSC","10","COL-030","unchanged","HPV Not Detected; Cancer suspicion cytology","confirmed by the evaluator on path A_BATCH"
"COLPOSCOPY","COL-032","Positive test of cure — HPV detected, low-grade or no cytology","REACHABLE","A_BATCH + B_CASE","P3","90","P3","90","COL-032","unchanged","Positive test of cure; HPV 16/18","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-033","Positive test of cure — HPV not detected, persistent low-grade cytology","REACHABLE","A_BATCH","P3","180","P3","180","COL-033","unchanged","Positive test of cure; HPV Not Detected; ASC-US","confirmed by the evaluator on path A_BATCH"
"COLPOSCOPY","COL-002","Positive test of cure re-referral","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-002","unchanged","Positive test of cure","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-003","High-grade cytology or histology (HSIL, ASC-H, CIN2, CIN3)","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-003","unchanged","HSIL","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-015","HPV 16/18 primary screening — abnormal cytology (non-cancer)","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-015","unchanged","HPV 16/18; ASC-US","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-016","HPV Other primary screening — high-grade or glandular cytology","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-016","unchanged","HPV Other; Glandular abnormality","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-004","HPV 16/18 positive (any cytology, no higher rule matched)","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-004","unchanged","HPV 16/18","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-027","HPV Other immune deficient — no cytology","REACHABLE","A_BATCH + B_CASE","P3","90","P3","90","COL-027","unchanged","HPV Other; Immune deficient","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-028","HPV Other immune deficient — normal or low-grade cytology","REACHABLE","A_BATCH + B_CASE","P3","180","P3","180","COL-028","unchanged","HPV Other; Immune deficient; Normal cytology","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-017","HPV Other with immune deficiency","SHADOWED","","P2","30","P3","90","COL-027","decreases","HPV Other; Immune deficient","satisfiable, but COL-027 always matches first"
"COLPOSCOPY","COL-006","Abnormal cervical appearance — borderline/normal cytology","REACHABLE","A_BATCH + B_CASE","P2","30","P2","30","COL-006","unchanged","Abnormal appearance","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-018","Post-treatment HPV 16/18 — abnormal cytology (non-cancer)","SHADOWED","","P2","30","P2","30","COL-015","unchanged","Post-treatment assessment; HPV 16/18; ASC-US","satisfiable, but COL-015 always matches first"
"COLPOSCOPY","COL-019","Post-treatment HPV Other — abnormal cytology","REACHABLE","B_CASE","P2","30","P2","30","COL-019","unchanged","Post-treatment assessment; HPV Other; ASC-US","confirmed by the evaluator on path B_CASE"
"COLPOSCOPY","COL-020","HPV surveillance 16/18 — abnormal cytology","SHADOWED","","P2","30","P2","30","COL-015","unchanged","HPV surveillance; HPV 16/18; ASC-US","satisfiable, but COL-015 always matches first"
"COLPOSCOPY","COL-021","HPV Other surveillance — abnormal cytology","SHADOWED","","P2","30","P2","30","COL-003","unchanged","HPV surveillance; HPV Other; ASC-H","satisfiable, but COL-003 always matches first"
"COLPOSCOPY","COL-031","HPV not detected with high-grade or glandular cytology — symptomatic","REACHABLE","A_BATCH","P2","30","P2","30","COL-031","unchanged","HPV Not Detected; Glandular abnormality","confirmed by the evaluator on path A_BATCH"
"COLPOSCOPY","COL-005","Second HPV Other — no cytology or normal/low-grade","REACHABLE","A_BATCH + B_CASE","P3","90","P3","90","COL-005","unchanged","HPV Other; Second HPV positive result","confirmed by the evaluator on path A_BATCH + B_CASE"
